period,reporterDesc,partnerDesc,cmdCode,qty,altQty,netWgt,Merge_qty,primaryValue
2018,Ghana,United Arab Emirates,710813,33481.813,0,33481.813,33481.813,"$485,592,846.63"
2018,Ghana,Türkiye,710813,285.61,285.61,285.61,285.61,"$12,336,913.40"
2018,Ghana,United Kingdom,710813,1.85,1.85,1.85,1.85,"$74,103.68"
2018,Ghana,USA,710813,76.09,76.09,76.09,76.09,"$3,182,657.81"
2018,Nigeria,World,7108,0,0,,0,"$63,250.05"
2018,Nigeria,United Arab Emirates,7108,1,1,1,1,"$24,941.80"
2018,Nigeria,USA,7108,0,0,,0,"$38,308.26"
2018,Nigeria,World,710812,0,1001,,0,"$63,250.05"
2018,Nigeria,United Arab Emirates,710812,1,1,1,1,"$24,941.80"
2018,Nigeria,USA,710812,0,1000,,0,"$38,308.26"
2019,Ghana,World,7108,0,0,,0,"$6,198,864,188.72"
2019,Ghana,Austria,7108,1,1,1,1,"$45,142.30"
2019,Ghana,Belgium,7108,155.3,155.3,155.3,155.3,"$6,692,463.04"
2019,Ghana,Brazil,7108,176.26,176.26,176.26,176.26,"$7,382,882.89"
2019,Ghana,Canada,7108,82.97,82.97,82.97,82.97,"$3,784,391.01"
2019,Ghana,"China, Hong Kong SAR",7108,4475.56,4475.56,4475.56,4475.56,"$200,832,808.38"
2019,Ghana,Italy,7108,6.5,6.5,6.5,6.5,"$274,163.27"
2019,Ghana,Japan,7108,2.85,2.85,2.85,2.85,"$82,558.68"
2019,Ghana,Rep. of Korea,7108,4.719,0,4.719,4.719,"$189,617.46"
2019,Ghana,Lebanon,7108,53.75,53.75,53.75,53.75,"$2,465,542.43"
2019,Ghana,Latvia,7108,1,1,1,1,"$42,793.32"
2019,Ghana,"Other Asia, nes",7108,1.87,1.87,1.87,1.87,"$75,255.50"
2019,Ghana,Netherlands,7108,1,1,1,1,"$18,081.25"
2019,Ghana,Pakistan,7108,332.99,332.99,332.99,332.99,"$13,376,260.64"
2019,Ghana,Portugal,7108,2.91,2.91,2.91,2.91,"$119,617.99"
2019,Ghana,Saudi Arabia,7108,0.05,0.05,0.05,0.05,"$2,118.61"
2019,Ghana,Sierra Leone,7108,2.91,2.91,2.91,2.91,"$133,714.87"
2019,Ghana,India,7108,42521.79,42521.79,42521.79,42521.79,"$1,692,926,086.48"
2019,Ghana,Singapore,7108,1.86,1.86,1.86,1.86,"$75,356.18"
2019,Ghana,South Africa,7108,27752.32,27752.32,27752.32,27752.32,"$1,058,886,523.16"
2019,Ghana,Switzerland,7108,62921.79,62921.79,62921.79,62921.79,"$2,377,844,886.32"
2019,Ghana,Thailand,7108,9.16,9.16,9.16,9.16,"$420,098.03"
2019,Ghana,United Arab Emirates,7108,0,0,,0,"$830,377,218.29"
2019,Ghana,Türkiye,7108,52.08,52.08,52.08,52.08,"$2,244,722.26"
2019,Ghana,United Kingdom,7108,6.58,6.58,6.58,6.58,"$270,670.93"
2019,Ghana,USA,7108,8.3,8.3,8.3,8.3,"$301,215.45"
2019,Ghana,World,710811,28.62,28.62,28.62,28.62,"$1,019,739.58"
2019,Ghana,India,710811,28.62,28.62,28.62,28.62,"$1,019,739.58"
2019,Ghana,World,710812,6319.37,6319.37,6319.37,6319.37,"$269,049,409.99"
2019,Ghana,"China, Hong Kong SAR",710812,414.08,414.08,414.08,414.08,"$19,975,599.81"
